Date,CPI
2000-01-01,2.185792
2000-02-01,2.729258
2000-03-01,3.043478
2000-04-01,2.162162
2000-05-01,2.373247
2000-06-01,2.798708
2000-07-01,2.900107
2000-08-01,2.572347
2000-09-01,2.67094
2000-10-01,2.774813
2000-11-01,3.205128
2000-12-01,3.201708
2001-01-01,2.994653
2001-02-01,2.869288
2001-03-01,2.42616
2001-04-01,3.492064
2001-05-01,3.898841
2001-06-01,3.350785
2001-07-01,2.713988
2001-08-01,2.821317
2001-09-01,2.601457
2001-10-01,1.869159
2001-11-01,0.621118
2001-12-01,0.7238883
2002-01-01,1.349948
2002-02-01,1.446281
2002-03-01,1.853759
2002-04-01,1.738241
2002-05-01,1.115619
2002-06-01,1.215806
2002-07-01,2.134146
2002-08-01,2.54065
2002-09-01,2.332657
2002-10-01,3.160041
2002-11-01,4.423868
2002-12-01,3.798768
2003-01-01,4.508197
2003-02-01,4.684318
2003-03-01,4.246714
2003-04-01,2.914573
2003-05-01,2.808425
2003-06-01,2.602603
2003-07-01,2.089552
2003-08-01,1.982161
2003-09-01,2.180377
2003-10-01,1.581028
2003-11-01,1.576355
2003-12-01,2.077151
2004-01-01,1.27451
2004-02-01,0.6809338
2004-03-01,0.7759457
2004-04-01,1.660156
2004-05-01,2.439024
2004-06-01,2.536585
2004-07-01,2.339181
2004-08-01,1.846453
2004-09-01,1.842871
2004-10-01,2.33463
2004-11-01,2.42483
2004-12-01,2.131783
2005-01-01,1.936108
2005-02-01,2.125604
2005-03-01,2.309913
2005-04-01,2.401537
2005-05-01,1.619048
2005-06-01,1.712655
2005-07-01,2
2005-08-01,2.576336
2005-09-01,3.238095
2005-10-01,2.56654
2005-11-01,1.988636
2005-12-01,2.087286
2006-01-01,2.754036
2006-02-01,2.17597
2006-03-01,2.163688
2006-04-01,2.439024
2006-05-01,2.811621
2006-06-01,2.43218
2006-07-01,2.334267
2006-08-01,2.139535
2006-09-01,0.7380074
2006-10-01,1.019462
2006-11-01,1.392758
2006-12-01,1.672862
2007-01-01,1.109057
2007-02-01,2.037037
2007-03-01,2.302026
2007-04-01,2.197802
2007-05-01,2.187785
2007-06-01,2.191781
2007-07-01,2.189781
2007-08-01,1.730419
2007-09-01,2.472528
2007-10-01,2.385321
2007-11-01,2.472528
2007-12-01,2.3766
2008-01-01,2.193784
2008-02-01,1.814882
2008-03-01,1.350135
2008-04-01,1.702509
2008-05-01,2.230152
2008-06-01,3.127793
2008-07-01,3.392857
2008-08-01,3.491495
2008-09-01,3.395889
2008-10-01,2.598566
2008-11-01,1.966041
2008-12-01,1.160714
2009-01-01,1.073345
2009-02-01,1.426025
2009-03-01,1.243339
2009-04-01,0.3524229
2009-05-01,0.08726004
2009-06-01,-0.2599653
2009-07-01,-0.9499136
2009-08-01,-0.7785467
2009-09-01,-0.8643042
2009-10-01,0.08733624
2009-11-01,0.9640666
2009-12-01,1.323919
2010-01-01,1.858407
2010-02-01,1.581722
2010-03-01,1.403509
2010-04-01,1.843723
2010-05-01,1.394943
2010-06-01,0.9556907
2010-07-01,1.830863
2010-08-01,1.743679
2010-09-01,1.918047
2010-10-01,2.443281
2010-11-01,1.996528
2010-12-01,2.351916
2011-01-01,2.345786
2011-02-01,2.16263
2011-03-01,3.287197
2011-04-01,3.275862
2011-05-01,3.697335
2011-06-01,3.098107
2011-07-01,2.739726
2011-08-01,3.084833
2011-09-01,3.165098
2011-10-01,2.896082
2011-11-01,2.893617
2011-12-01,2.297872
2012-01-01,2.4618
2012-02-01,2.624894
2012-03-01,1.926298
2012-04-01,2.003339
2012-05-01,1.243781
2012-06-01,1.502504
2012-07-01,1.25
2012-08-01,1.246883
2012-09-01,1.160862
2012-10-01,1.15894
2012-11-01,0.8271298
2012-12-01,0.8319467
2013-01-01,0.4971002
2013-02-01,1.237624
2013-03-01,0.9860312
2013-04-01,0.4091653
2013-05-01,0.7371007
2013-06-01,1.151316
2013-07-01,1.316872
2013-08-01,1.067323
2013-09-01,1.065574
2013-10-01,0.6546645
2013-11-01,0.902379
2013-12-01,1.237624
2014-01-01,1.483924
2014-02-01,1.140994
2014-03-01,1.545972
2014-04-01,2.03749
2014-05-01,2.276423
2014-06-01,2.357723
2014-07-01,2.112104
2014-08-01,2.112104
2014-09-01,2.027575
2014-10-01,2.357723
2014-11-01,1.95122
2014-12-01,1.466993
2015-01-01,0.9748172
2015-02-01,1.047542
2015-03-01,1.201923
2015-04-01,0.798722
2015-05-01,0.8744038
2015-06-01,1.032565
2015-07-01,1.272872
2015-08-01,1.272872
2015-09-01,1.033386
2015-10-01,1.032565
2015-11-01,1.355662
2015-12-01,1.606426
