Date,HPI,GDP_lag1,CPI_lag1,IR_lag1,Unemployment_lag1,Close_lag1,Volume_lag1,HPI_ma_3,HPI_lag1
2000-04-01,57.6,378669,3.043478,6.02826087,6.9,1498.579956,26156200000,57.36666667,57.5
2000-05-01,57.8,383125.8125,2.162162,5.924210526,6.7,1452.430054,20106460000,57.5,57.6
2000-06-01,57.8,383125.8125,2.373247,6.215,6.6,1420.599976,19898300000,57.63333333,57.8
2000-07-01,57.9,383125.8125,2.798708,5.895454545,6.7,1454.599976,21738300000,57.73333333,57.8
2000-08-01,58.1,387053,2.900107,5.8635,6.8,1430.829956,19089100000,57.83333333,57.9
2000-09-01,58.2,387053,2.572347,5.766363636,7,1517.680054,20363700000,57.93333333,58.1
2000-10-01,58.3,387053,2.67094,5.7295,6.9,1436.51001,20838300000,58.06666667,58.2
2000-11-01,58.5,387818.5,2.774813,5.723333333,7,1429.400024,25951400000,58.2,58.3
2000-12-01,58.6,387818.5,3.205128,5.727142857,6.9,1314.949951,20532300000,58.33333333,58.5
2001-01-01,58.7,387818.5,3.201708,5.402105263,6.8,1320.280029,23610800000,58.46666667,58.6
2001-02-01,58.8,390001.5,2.994653,5.418636364,6.9,1366.01001,27829800000,58.6,58.7
2001-03-01,59,390001.5,2.869288,5.43,7,1239.939941,21644400000,58.7,58.8
2001-04-01,59.2,390001.5,2.42616,5.301363636,7.1,1160.329956,27806610000,58.83333333,59
2001-05-01,59.3,391228,3.492064,5.5915,7.1,1249.459961,25409990000,59,59.2
2001-06-01,59.5,391228,3.898841,5.851363636,7,1255.819946,24525900000,59.16666667,59.3
2001-07-01,59.6,391228,3.350785,5.718095238,7.2,1224.380005,24748030000,59.33333333,59.5
2001-08-01,59.7,390953,2.713988,5.80047619,7.1,1211.22998,23793710000,59.46666667,59.6
2001-09-01,59.9,390953,2.821317,5.530909091,7.2,1133.579956,23359200000,59.6,59.7
2001-10-01,59.9,390953,2.601457,5.302631579,7.2,1040.939941,25025290000,59.73333333,59.9
2001-11-01,60.1,393297.8125,1.869159,5.232727273,7.3,1059.780029,29951280000,59.83333333,59.9
2001-12-01,60.2,393297.8125,0.621118,5.177142857,7.5,1139.449951,26330000000,59.96666667,60.1
2002-01-01,60.4,393297.8125,0.7238883,5.408421053,8.1,1148.079956,25128570000,60.06666667,60.2
2002-02-01,60.8,399048.5,1.349948,5.343636364,8,1130.199951,29746200000,60.23333333,60.4
2002-03-01,61,399048.5,1.446281,5.321,7.9,1106.72998,26047600000,60.46666667,60.8
2002-04-01,61.4,399048.5,1.853759,5.667,7.9,1147.390015,26563200000,60.73333333,61
2002-05-01,61.8,401406.3125,1.738241,5.658636364,7.7,1076.920044,28568900000,61.06666667,61.4
2002-06-01,61.9,401406.3125,1.115619,5.595909091,7.8,1067.140015,26905500000,61.4,61.8
2002-07-01,62,401406.3125,1.215806,5.424,7.6,989.8200073,29981510000,61.7,61.9
2002-08-01,62.3,404877.3125,2.134146,5.290454545,7.6,911.6199951,42228720000,61.9,62
2002-09-01,62.4,404877.3125,2.54065,5.12047619,7.4,916.0700073,29298400000,62.06666667,62.3
2002-10-01,62.7,404877.3125,2.332657,4.8855,7.6,815.2800293,27723710000,62.23333333,62.4
2002-11-01,63.1,407101,3.160041,5.127272727,7.6,885.7600098,37856310000,62.46666667,62.7
2002-12-01,63.3,407101,4.423868,5.0895,7.5,936.3099976,29200960000,62.73333333,63.1
2003-01-01,63.4,407101,3.798768,4.9675,7.6,879.8200073,25993640000,63.03333333,63.3
2003-02-01,63.8,409366,4.508197,4.961818182,7.5,855.7000122,30749580000,63.26666667,63.4
2003-03-01,63.9,409366,4.684318,5.012,7.5,841.1500244,25235300000,63.5,63.8
2003-04-01,64.1,409366,4.246714,4.997142857,7.4,848.1799927,30080030000,63.7,63.9
2003-05-01,64.5,408772.3125,2.914573,5.051904762,7.6,916.9199829,29669610000,63.93333333,64.1
2003-06-01,64.7,408772.3125,2.808425,4.671904762,7.8,963.5900269,30952100000,64.16666667,64.5
2003-07-01,64.9,408772.3125,2.602603,4.288095238,7.6,974.5,31219400000,64.43333333,64.7
2003-08-01,65.2,410300.5,2.089552,4.683181818,7.7,990.3099976,31553200000,64.7,64.9
2003-09-01,65.5,410300.5,1.982161,4.902,7.8,1008.01001,24881470000,64.93333333,65.2
2003-10-01,65.8,410300.5,2.180377,4.757142857,7.9,995.9699707,29940110000,65.2,65.5
2003-11-01,66.3,413121,1.581028,4.815454545,7.6,1050.709961,32298500000,65.5,65.8
2003-12-01,66.5,413121,1.576355,4.856842105,7.4,1058.199951,24463220000,65.86666667,66.3
2004-01-01,66.7,413121,2.077151,4.729047619,7.3,1111.920044,27839130000,66.2,66.5
2004-02-01,66.9,416125,1.27451,4.586190476,7.3,1131.130005,32820000000,66.5,66.7
2004-03-01,67.2,416125,0.6809338,4.4515,7.3,1144.939941,27985600000,66.7,66.9
2004-04-01,67.7,416125,0.7759457,4.260434783,7.3,1126.209961,33597900000,66.93333333,67.2
2004-05-01,68.2,421055.5,1.660156,4.612857143,7.2,1107.300049,31611900000,67.26666667,67.7
2004-06-01,68.7,421055.5,2.439024,4.773,7.1,1120.680054,29326400000,67.7,68.2
2004-07-01,68.8,421055.5,2.536585,4.932727273,7.2,1140.839966,27529500000,68.2,68.7
2004-08-01,69.1,426033.8125,2.339181,4.75,7.1,1101.719971,29285600000,68.56666667,68.8
2004-09-01,69.3,426033.8125,1.846453,4.630952381,7,1104.23999,26586800000,68.86666667,69.1
2004-10-01,69.5,426033.8125,1.842871,4.602380952,6.9,1114.579956,26829870000,69.06666667,69.3
2004-11-01,69.8,429108.5,2.33463,4.55,7.1,1130.199951,31511000000,69.3,69.5
2004-12-01,69.9,429108.5,2.42483,4.484761905,7.2,1173.819946,30460280000,69.53333333,69.8
2005-01-01,70.1,429108.5,2.131783,4.32047619,7.1,1211.920044,31102500000,69.73333333,69.9
2005-02-01,70.3,430611.3125,1.936108,4.2605,6.9,1181.27002,31498800000,69.93333333,70.1
2005-03-01,70.6,430611.3125,2.125604,4.205,7,1203.599976,29297410000,70.1,70.3
2005-04-01,71,430611.3125,2.309913,4.358181818,6.9,1180.589966,39014150000,70.33333333,70.6
2005-05-01,71.3,433723.5,2.401537,4.193809524,6.7,1156.849976,43424270000,70.63333333,71
2005-06-01,71.9,433723.5,1.619048,4.073809524,7,1191.5,39321990000,70.96666667,71.3
2005-07-01,72,433723.5,1.712655,3.828181818,6.8,1191.329956,40334040000,71.4,71.9
2005-08-01,72.3,438979.8125,2,3.8995,6.7,1234.180054,37464670000,71.73333333,72
2005-09-01,72.7,438979.8125,2.576336,3.920454545,6.7,1220.329956,42030090000,72.06666667,72.3
2005-10-01,73.2,438979.8125,3.238095,3.868571429,6.7,1228.810059,44777510000,72.33333333,72.7
2005-11-01,73.6,443339.5,2.56654,4.047,6.7,1207.01001,49793790000,72.73333333,73.2
2005-12-01,74.1,443339.5,1.988636,4.107142857,6.3,1249.47998,45102870000,73.16666667,73.6
2006-01-01,74.7,443339.5,2.087286,4.041,6.6,1248.290039,41756130000,73.63333333,74.1
2006-02-01,75.2,446939,2.754036,4.029047619,6.7,1280.079956,49211650000,74.13333333,74.7
2006-03-01,76,446939,2.17597,4.17,6.6,1280.660034,42859940000,74.66666667,75.2
2006-04-01,76.9,446939,2.163688,4.199565217,6.5,1294.869995,50905040000,75.3,76
2006-05-01,77.8,447162.5,2.439024,4.415789474,6.5,1310.609985,43308430000,76.03333333,76.9
2006-06-01,79,447162.5,2.811621,4.399545455,6.2,1270.089966,54312830000,76.9,77.8
2006-07-01,79.8,447162.5,2.43218,4.441363636,6.3,1270.199951,54873260000,77.9,79
2006-08-01,81,448421.3125,2.334267,4.444,6.5,1276.660034,46348220000,78.86666667,79.8
2006-09-01,81.4,448421.3125,2.139535,4.252727273,6.5,1303.819946,50485620000,79.93333333,81
2006-10-01,81.6,448421.3125,0.7380074,4.068571429,6.5,1335.849976,49001440000,80.73333333,81.4
2006-11-01,82,450207,1.019462,4.106666667,6.3,1377.939941,56793620000,81.33333333,81.6
2006-12-01,82,450207,1.392758,3.99952381,6.5,1400.630005,55343930000,81.66666667,82
2007-01-01,82.3,450207,1.672862,3.966315789,6.3,1418.300049,47578780000,81.86666667,82
2007-02-01,82.7,453080.3125,1.109057,4.121818182,6.4,1438.23999,56686200000,82.1,82.3
2007-03-01,83,453080.3125,2.037037,4.1175,6.3,1406.819946,51844990000,82.33333333,82.7
2007-04-01,83.7,453080.3125,2.302026,4.045909091,6.3,1420.859985,67622250000,82.66666667,83
2007-05-01,84.6,457455.8125,2.197802,4.1715,6.3,1482.369995,57032470000,83.13333333,83.7
2007-06-01,85.1,457455.8125,2.187785,4.292727273,6.2,1530.619995,64958050000,83.76666667,84.6
2007-07-01,85.9,457455.8125,2.191781,4.612857143,6.1,1503.349976,65322800000,84.46666667,85.1
2007-08-01,86.3,459169.8125,2.189781,4.59,6,1455.27002,70337430000,85.2,85.9
2007-09-01,86.5,459169.8125,1.730419,4.428636364,6,1473.98999,91381760000,85.76666667,86.3
2007-10-01,86.6,459169.8125,2.472528,4.356315789,6,1526.75,57809700000,86.23333333,86.5
2007-11-01,87,459773.3125,2.385321,4.362727273,6,1549.380005,76022580000,86.46666667,86.6
2007-12-01,87.1,459773.3125,2.472528,4.121428571,6.1,1481.140015,86246950000,86.7,87
2008-01-01,87.6,459773.3125,2.3766,4.015789474,6.2,1468.359985,64821670000,86.9,87.1
2008-02-01,87.9,460118.3125,2.193784,3.848181818,6.1,1378.550049,98475340000,87.23333333,87.6
2008-03-01,88.1,460118.3125,1.814882,3.828,6.1,1330.630005,78536130000,87.53333333,87.9
2008-04-01,88.1,460118.3125,1.350135,3.509,6.2,1322.699951,93189170000,87.86666667,88.1
2008-05-01,88.1,461794.8125,1.702509,3.628636364,6.2,1385.589966,85978630000,88.03333333,88.1
2008-06-01,88.2,461794.8125,2.230152,3.621428571,6.2,1400.380005,80990480000,88.1,88.1
2008-07-01,88.2,461794.8125,3.127793,3.76,6.1,1280,96614040000,88.13333333,88.2
2008-08-01,88.2,465589.5,3.392857,3.750454545,6.2,1267.380005,1.25E+11,88.16666667,88.2
2008-09-01,88.3,465589.5,3.491495,3.5915,6.2,1282.829956,86266010000,88.2,88.2
2008-10-01,87.9,465589.5,3.395889,3.540952381,6.3,1166.359985,1.40E+11,88.23333333,88.3
2008-11-01,87.7,460187.3125,2.598566,3.668181818,6.4,968.75,1.60E+11,88.13333333,87.9
2008-12-01,87.5,460187.3125,1.966041,3.571578947,6.7,896.2399902,1.16E+11,87.96666667,87.7
